time,gFx,gFy,gFz,TgF
0.001989769,0.0261,0.9830,-0.0198,0.984
0.00249323,0.0266,0.9815,-0.0195,0.982
0.002849769,0.0244,0.9788,-0.0161,0.979
0.003213769,0.0242,0.9784,-0.0119,0.979
0.003482153,0.0242,0.9752,-0.0102,0.976
0.004524,0.0254,0.9747,-0.0081,0.975
0.007191076,0.0249,0.9749,-0.0102,0.975
0.009451307,0.0249,0.9766,-0.0063,0.977
0.011969461,0.0247,0.9761,-0.0058,0.976
0.014618153,0.0251,0.9781,-0.0058,0.978
0.016894461,0.0222,0.9766,-0.0049,0.977
0.019407615,0.0247,0.9779,-0.0065,0.978
0.023404923,0.0230,0.9791,-0.0093,0.979
0.028895923,0.0210,0.9791,-0.0095,0.979
0.029357846,0.0200,0.9781,-0.0112,0.978
0.029660307,0.0212,0.9791,-0.0117,0.979
0.032003,0.0205,0.9800,-0.0154,0.980
0.03485223,0.0202,0.9788,-0.0156,0.979
0.03723223,0.0200,0.9810,-0.0161,0.981
0.039692923,0.0188,0.9830,-0.0181,0.983
0.041959384,0.0193,0.9837,-0.0222,0.984
0.044461538,0.0212,0.9854,-0.0219,0.986
0.047029538,0.0207,0.9866,-0.0242,0.987
0.049593153,0.0195,0.9874,-0.0247,0.988
0.053500538,0.0210,0.9881,-0.0266,0.989
0.057346076,0.0202,0.9874,-0.0263,0.988
0.057824846,0.0198,0.9874,-0.0279,0.988
0.05960123,0.0205,0.9854,-0.0276,0.986
0.062072615,0.0222,0.9856,-0.0281,0.986
0.064573461,0.0235,0.9864,-0.0261,0.987
0.067050076,0.0232,0.9879,-0.0251,0.988
0.069735,0.0230,0.9854,-0.0242,0.986
0.072224846,0.0227,0.9844,-0.0242,0.985
0.075202769,0.0217,0.9847,-0.0214,0.985
0.077209846,0.0217,0.9825,-0.0198,0.983
0.079653846,0.0237,0.9828,-0.0188,0.983
0.08236523,0.0242,0.9830,-0.0179,0.983
0.084773846,0.0235,0.9825,-0.0156,0.983
0.088367076,0.0230,0.9791,-0.0139,0.979
0.08984023,0.0235,0.9793,-0.0139,0.980
0.09238423,0.0266,0.9771,-0.0105,0.978
0.094747,0.0261,0.9781,-0.0088,0.978
0.097036923,0.0266,0.9756,-0.0093,0.976
0.100230692,0.0268,0.9763,-0.0083,0.977
0.102654076,0.0249,0.9779,-0.0081,0.978
0.105818076,0.0256,0.9788,-0.0086,0.979
0.10741323,0.0266,0.9779,-0.0098,0.978
0.109985461,0.0271,0.9773,-0.0109,0.978
0.112567,0.0268,0.9776,-0.0121,0.978
0.115166076,0.0274,0.9800,-0.0124,0.980
