time,gFx,gFy,gFz,TgF
0.001574538,0.0173,0.9815,0.0297,0.982
0.001999769,0.0183,0.9800,0.0283,0.981
0.002420692,0.0202,0.9805,0.0276,0.981
0.002759154,0.0198,0.9798,0.0290,0.980
0.003179384,0.0205,0.9803,0.0312,0.981
0.004295692,0.0214,0.9837,0.0312,0.984
0.007635384,0.0207,0.9805,0.0341,0.981
0.009297307,0.0214,0.9808,0.0337,0.982
0.011756077,0.0222,0.9798,0.0346,0.981
0.014552692,0.0222,0.9786,0.0361,0.979
0.017047692,0.0237,0.9788,0.0353,0.980
0.019460077,0.0232,0.9800,0.0353,0.981
0.037478231,0.0230,0.9805,0.0356,0.981
0.037981923,0.0232,0.9805,0.0358,0.981
0.038319461,0.0239,0.9808,0.0332,0.982
0.038648692,0.0263,0.9825,0.0334,0.983
0.038998231,0.0251,0.9837,0.0316,0.985
0.039373,0.0261,0.9822,0.0307,0.983
0.039791461,0.0281,0.9822,0.0319,0.983
0.040106846,0.0274,0.9820,0.0295,0.983
0.042916692,0.0281,0.9830,0.0295,0.984
0.049923461,0.0303,0.9837,0.0309,0.985
0.050442769,0.0310,0.9822,0.0297,0.983
0.050813538,0.0324,0.9828,0.0295,0.984
0.052053,0.0332,0.9835,0.0309,0.985
0.056439154,0.0335,0.9833,0.0285,0.984
0.057230769,0.0328,0.9835,0.0288,0.984
0.059523384,0.0349,0.9837,0.0295,0.985
0.062070538,0.0340,0.9828,0.0272,0.984
0.064588923,0.0332,0.9820,0.0293,0.983
0.06706,0.0342,0.9820,0.0309,0.983
0.069452615,0.0356,0.9825,0.0283,0.984
0.073004692,0.0356,0.9796,0.0337,0.981
0.074553846,0.0344,0.9815,0.0309,0.983
0.077087692,0.0349,0.9830,0.0290,0.984
0.079621538,0.0330,0.9810,0.0326,0.982
0.082455461,0.0319,0.9796,0.0302,0.981
0.084722231,0.0319,0.9808,0.0285,0.982
0.087242231,0.0324,0.9810,0.0349,0.982
0.090323692,0.0303,0.9817,0.0321,0.983
0.092378769,0.0300,0.9820,0.0314,0.983
0.094839769,0.0281,0.9830,0.0351,0.984
0.097453923,0.0263,0.9822,0.0316,0.983
0.099819769,0.0256,0.9808,0.0305,0.982
0.102371769,0.0239,0.9817,0.0329,0.983
0.104708,0.0225,0.9817,0.0326,0.983
0.107477923,0.0225,0.9817,0.0290,0.982
0.109777231,0.0225,0.9822,0.0344,0.983
0.112337538,0.0247,0.9820,0.0305,0.983
0.114922538,0.0230,0.9825,0.0309,0.983
0.117382154,0.0219,0.9837,0.0321,0.984
0.120243692,0.0191,0.9822,0.0321,0.983
0.136729923,0.0205,0.9810,0.0307,0.982
0.137793307,0.0212,0.9830,0.0281,0.984
0.138523461,0.0188,0.9844,0.0293,0.985
0.139185231,0.0191,0.9810,0.0309,0.982
0.139932923,0.0188,0.9820,0.0302,0.983
0.140597615,0.0186,0.9815,0.0290,0.982
