time,gFx,gFy,gFz,TgF
2.50503877,0.0305,0.9833,0.0167,0.984
2.505280077,0.0323,0.9842,0.0141,0.985
2.507294846,0.0337,0.9828,0.0165,0.983
2.509761539,0.0354,0.9830,0.0167,0.984
2.512396,0.0328,0.9859,0.0116,0.987
2.514861231,0.0332,0.9844,0.0097,0.985
2.517409846,0.0337,0.9842,0.0153,0.985
2.519854231,0.0337,0.9859,0.0163,0.987
2.522476077,0.0335,0.9849,0.0136,0.986
2.525163077,0.0328,0.9854,0.0129,0.986
2.52833877,0.0340,0.9840,0.0151,0.985
2.530068077,0.0354,0.9849,0.0136,0.986
2.533348077,0.0328,0.9856,0.0129,0.986
2.53531077,0.0330,0.9844,0.0144,0.985
2.53766677,0.0330,0.9835,0.0173,0.984
2.540530539,0.0328,0.9844,0.0163,0.985
2.542725308,0.0323,0.9854,0.0160,0.986
2.545428616,0.0307,0.9844,0.0158,0.985
2.548117,0.0328,0.9849,0.0167,0.986
2.550379462,0.0342,0.9837,0.0167,0.984
2.553005539,0.0354,0.9825,0.0163,0.983
2.555376616,0.0352,0.9808,0.0185,0.982
2.558196,0.0340,0.9812,0.0188,0.982
2.560566462,0.0337,0.9835,0.0190,0.984
2.562856,0.0344,0.9830,0.0190,0.984
2.56650377,0.0337,0.9810,0.0195,0.982
2.570668308,0.0340,0.9810,0.0197,0.982
2.571557846,0.0368,0.9808,0.0204,0.982
2.572980693,0.0371,0.9800,0.0195,0.981
2.575456923,0.0364,0.9812,0.0185,0.982
2.578154231,0.0347,0.9800,0.0185,0.981
2.580483693,0.0349,0.9808,0.0176,0.982
2.583133923,0.0344,0.9825,0.0165,0.983
2.585523077,0.0356,0.9833,0.0167,0.984
2.587945,0.0352,0.9847,0.0146,0.985
2.590735077,0.0349,0.9847,0.0155,0.985
2.593142539,0.0344,0.9828,0.0153,0.983
2.595726231,0.0342,0.9842,0.0136,0.985
2.597836308,0.0344,0.9854,0.0146,0.986
2.601031385,0.0332,0.9856,0.0136,0.986
2.603455462,0.0310,0.9844,0.0134,0.985
2.605666154,0.0330,0.9852,0.0139,0.986
2.608329308,0.0340,0.9859,0.0144,0.987
2.610657,0.0337,0.9856,0.0155,0.986
2.613252,0.0317,0.9842,0.0153,0.985
2.616558231,0.0335,0.9859,0.0158,0.987
2.618221846,0.0323,0.9835,0.0148,0.984
2.620670846,0.0328,0.9833,0.0165,0.984
2.623238231,0.0332,0.9830,0.0178,0.984
2.625733308,0.0332,0.9833,0.0163,0.984
2.628033539,0.0344,0.9825,0.0155,0.983
2.630887154,0.0337,0.9835,0.0176,0.984
2.633209923,0.0342,0.9842,0.0178,0.985
2.635755077,0.0337,0.9835,0.0185,0.984
2.638189539,0.0344,0.9830,0.0192,0.984
2.640862539,0.0354,0.9844,0.0197,0.985
2.643456385,0.0347,0.9835,0.0195,0.984
2.645786539,0.0354,0.9835,0.0192,0.984
2.653029846,0.0344,0.9835,0.0183,0.984
2.653417616,0.0342,0.9825,0.0192,0.983
2.653639385,0.0356,0.9835,0.0188,0.984
2.656287693,0.0344,0.9820,0.0190,0.983
2.658428923,0.0335,0.9820,0.0183,0.983
2.661058539,0.0323,0.9815,0.0165,0.982
2.663419462,0.0337,0.9820,0.0185,0.983
2.666205923,0.0328,0.9830,0.0190,0.984
2.668650462,0.0324,0.9842,0.0180,0.985
2.671397923,0.0328,0.9830,0.0173,0.984
2.673476616,0.0330,0.9830,0.0158,0.984
2.676231077,0.0337,0.9812,0.0163,0.982
2.678390462,0.0332,0.9817,0.0170,0.982
2.681052616,0.0335,0.9822,0.0165,0.983
2.68359077,0.0328,0.9856,0.0167,0.986
2.686369308,0.0312,0.9852,0.0139,0.986
2.688869846,0.0337,0.9856,0.0151,0.986
2.691396616,0.0324,0.9854,0.0146,0.986
2.693449923,0.0317,0.9856,0.0139,0.986
2.696137846,0.0332,0.9840,0.0148,0.985
2.699718154,0.0342,0.9842,0.0141,0.985
2.700953539,0.0337,0.9852,0.0151,0.986
2.703961,0.0337,0.9812,0.0165,0.982
2.706953923,0.0337,0.9825,0.0165,0.983
2.708682231,0.0337,0.9835,0.0160,0.984
2.711053308,0.0330,0.9822,0.0163,0.983
2.713931385,0.0330,0.9833,0.0167,0.984
2.716774539,0.0342,0.9822,0.0200,0.983
2.719276308,0.0361,0.9812,0.0190,0.982
2.721552,0.0352,0.9822,0.0183,0.983
2.724085539,0.0347,0.9825,0.0190,0.983
2.726127462,0.0340,0.9817,0.0165,0.982
2.72857577,0.0332,0.9817,0.0176,0.982
2.731098539,0.0324,0.9825,0.0188,0.983
2.733788385,0.0344,0.9833,0.0188,0.984
2.73624677,0.0335,0.9847,0.0173,0.985
2.738956923,0.0342,0.9837,0.0170,0.984
2.74134277,0.0352,0.9815,0.0180,0.982
2.743809846,0.0344,0.9833,0.0160,0.984
2.746104308,0.0349,0.9820,0.0185,0.983
2.752628308,0.0349,0.9830,0.0170,0.984
2.753020616,0.0349,0.9833,0.0160,0.984
2.753733,0.0354,0.9837,0.0178,0.984
2.756374539,0.0340,0.9844,0.0165,0.985
2.759236,0.0342,0.9849,0.0163,0.986
2.761250539,0.0344,0.9835,0.0170,0.984
2.763925,0.0340,0.9847,0.0160,0.985
2.766567154,0.0335,0.9822,0.0134,0.983
2.769173539,0.0337,0.9837,0.0136,0.984
2.771496923,0.0349,0.9842,0.0153,0.985
2.773721923,0.0340,0.9837,0.0163,0.984
2.776432923,0.0332,0.9837,0.0139,0.984
2.778756,0.0337,0.9852,0.0165,0.986
2.781337616,0.0340,0.9830,0.0170,0.984
2.785503693,0.0332,0.9835,0.0136,0.984
2.786473616,0.0340,0.9840,0.0148,0.985
2.789900077,0.0344,0.9842,0.0153,0.985
2.791556077,0.0344,0.9833,0.0155,0.984
2.793917846,0.0349,0.9817,0.0178,0.983
2.796441846,0.0356,0.9825,0.0185,0.983
2.802262539,0.0344,0.9800,0.0165,0.981
2.802745846,0.0319,0.9825,0.0188,0.983
2.804230154,0.0328,0.9817,0.0165,0.982
2.80659077,0.0347,0.9822,0.0163,0.983
2.809292,0.0356,0.9825,0.0192,0.983
2.812475693,0.0330,0.9828,0.0185,0.983
2.813825616,0.0319,0.9820,0.0188,0.983
2.816637616,0.0335,0.9835,0.0185,0.984
2.819141923,0.0340,0.9840,0.0200,0.985
2.821690231,0.0342,0.9837,0.0183,0.984
2.824260693,0.0342,0.9830,0.0167,0.984
2.826888077,0.0340,0.9822,0.0178,0.983
2.828988308,0.0354,0.9830,0.0165,0.984
2.833236616,0.0342,0.9828,0.0153,0.983
2.834138846,0.0337,0.9840,0.0158,0.985
2.837046154,0.0332,0.9842,0.0163,0.985
2.839294462,0.0352,0.9830,0.0167,0.984
2.841979077,0.0340,0.9830,0.0160,0.984
2.844174231,0.0344,0.9837,0.0160,0.984
2.84646777,0.0337,0.9835,0.0155,0.984
2.853325231,0.0337,0.9835,0.0160,0.984
2.853707077,0.0319,0.9842,0.0160,0.985
2.854288,0.0344,0.9840,0.0163,0.985
2.856852,0.0328,0.9842,0.0153,0.985
2.859606462,0.0332,0.9852,0.0155,0.986
