time,gFx,gFy,gFz,TgF
0.006427308,0.0364,0.9874,0.0158,0.988
0.006805769,0.0391,0.9879,0.0129,0.989
0.007101846,0.0384,0.9886,0.0141,0.989
0.007564231,0.0366,0.9868,0.0136,0.988
0.007841462,0.0388,0.9852,0.0167,0.986
0.008132846,0.0393,0.9861,0.0190,0.987
0.008408308,0.0410,0.9849,0.0209,0.986
0.008691385,0.0400,0.9844,0.0209,0.985
0.008980846,0.0391,0.9837,0.0234,0.985
0.009255385,0.0386,0.9825,0.0253,0.984
0.009528539,0.0391,0.9808,0.0263,0.982
0.009807,0.0388,0.9808,0.0283,0.982
0.010085231,0.0391,0.9810,0.0278,0.982
0.010350154,0.0412,0.9776,0.0305,0.979
0.016928923,0.0408,0.9791,0.0297,0.980
0.017446077,0.0420,0.9803,0.0307,0.982
0.017770462,0.0412,0.9779,0.0295,0.979
0.020542692,0.0403,0.9786,0.0295,0.980
0.038103308,0.0393,0.9784,0.0300,0.980
0.039065231,0.0420,0.9773,0.0283,0.979
0.039459308,0.0417,0.9798,0.0260,0.981
0.039796308,0.0415,0.9808,0.0256,0.982
0.040111923,0.0400,0.9817,0.0239,0.983
0.040407615,0.0400,0.9833,0.0219,0.984
0.040695308,0.0403,0.9866,0.0195,0.988
0.040987308,0.0388,0.9847,0.0188,0.986
0.044716539,0.0396,0.9859,0.0183,0.987
0.045232615,0.0403,0.9864,0.0170,0.987
0.047951308,0.0400,0.9856,0.0163,0.987
0.050079692,0.0400,0.9854,0.0146,0.986
0.052601769,0.0393,0.9877,0.0148,0.989
0.054907692,0.0391,0.9891,0.0141,0.990
0.059646462,0.0400,0.9884,0.0144,0.989
0.060160539,0.0388,0.9881,0.0151,0.989
0.062472615,0.0381,0.9868,0.0176,0.988
0.065087,0.0396,0.9866,0.0176,0.988
0.067495,0.0396,0.9854,0.0190,0.986
0.069906692,0.0393,0.9835,0.0190,0.984
0.072446692,0.0381,0.9830,0.0214,0.984
0.075055692,0.0415,0.9830,0.0209,0.984
0.077827308,0.0400,0.9803,0.0241,0.981
0.080206692,0.0403,0.9805,0.0248,0.982
0.082458769,0.0379,0.9817,0.0265,0.983
0.084992539,0.0400,0.9815,0.0278,0.983
0.087561769,0.0386,0.9798,0.0265,0.981
0.090062769,0.0398,0.9788,0.0260,0.980
0.092896615,0.0388,0.9796,0.0285,0.981
0.094941462,0.0388,0.9791,0.0295,0.980
0.097509539,0.0375,0.9800,0.0270,0.981
