time,gFx,gFy,gFz,TgF
0.002039693,0.0291,0.9756,-0.0090,0.976
0.002571385,0.0281,0.9773,-0.0093,0.978
0.002956616,0.0284,0.9779,-0.0075,0.978
0.003297231,0.0271,0.9776,-0.0068,0.978
0.003593616,0.0251,0.9768,-0.0037,0.977
0.003887385,0.0235,0.9784,-0.0034,0.979
0.017338539,0.0235,0.9768,-0.0051,0.977
0.017892,0.0217,0.9781,-0.0063,0.978
0.018191385,0.0212,0.9773,-0.0068,0.978
0.018478462,0.0225,0.9781,-0.0075,0.978
0.018746846,0.0212,0.9798,-0.0109,0.980
0.019034154,0.0183,0.9808,-0.0132,0.981
0.024329308,0.0202,0.9810,-0.0151,0.981
0.024761231,0.0191,0.9810,-0.0181,0.981
0.037956693,0.0179,0.9844,-0.0188,0.985
0.038883154,0.0191,0.9859,-0.0214,0.986
0.039429,0.0219,0.9866,-0.0251,0.987
0.039944077,0.0212,0.9874,-0.0266,0.988
0.040551693,0.0214,0.9889,-0.0281,0.990
0.041049846,0.0214,0.9879,-0.0279,0.988
0.041549,0.0235,0.9886,-0.0298,0.989
0.043407385,0.0244,0.9866,-0.0293,0.987
0.047234539,0.0244,0.9864,-0.0283,0.987
0.048177616,0.0244,0.9852,-0.0261,0.986
0.050965846,0.0230,0.9859,-0.0232,0.986
0.053141308,0.0242,0.9835,-0.0207,0.984
0.056151693,0.0256,0.9830,-0.0205,0.984
0.058139385,0.0261,0.9837,-0.0158,0.984
0.060864923,0.0235,0.9805,-0.0156,0.981
0.063142769,0.0237,0.9810,-0.0130,0.981
0.065489846,0.0249,0.9817,-0.0117,0.982
0.068353,0.0249,0.9805,-0.0090,0.981
0.071642769,0.0256,0.9810,-0.0100,0.981
0.073346154,0.0254,0.9800,-0.0095,0.980
0.075839077,0.0259,0.9779,-0.0068,0.978
0.078342154,0.0266,0.9781,-0.0086,0.978
0.080889923,0.0251,0.9784,-0.0083,0.979
0.083226769,0.0254,0.9766,-0.0063,0.977
0.086317846,0.0263,0.9779,-0.0086,0.978
0.089820923,0.0244,0.9788,-0.0086,0.979
0.091757,0.0254,0.9791,-0.0093,0.979
0.093289231,0.0256,0.9800,-0.0107,0.980
0.095749,0.0232,0.9810,-0.0132,0.981
0.098386846,0.0247,0.9810,-0.0151,0.981
0.100828308,0.0244,0.9817,-0.0161,0.982
0.107749923,0.0249,0.9812,-0.0173,0.982
0.108731693,0.0242,0.9830,-0.0183,0.983
0.109408923,0.0239,0.9840,-0.0191,0.984
0.110979154,0.0232,0.9849,-0.0198,0.985
0.113390769,0.0235,0.9837,-0.0195,0.984
0.116004077,0.0222,0.9859,-0.0207,0.986
0.118693923,0.0212,0.9835,-0.0230,0.984
0.121469231,0.0210,0.9847,-0.0232,0.985
0.123396385,0.0205,0.9859,-0.0239,0.986
0.126105539,0.0207,0.9854,-0.0244,0.986
0.128521539,0.0205,0.9830,-0.0232,0.983
0.131279385,0.0205,0.9847,-0.0227,0.985
0.133512385,0.0200,0.9844,-0.0198,0.985
0.135993,0.0202,0.9837,-0.0212,0.984
0.138776616,0.0210,0.9837,-0.0193,0.984
0.140995693,0.0202,0.9815,-0.0156,0.982
0.143625539,0.0222,0.9815,-0.0146,0.982
0.146143077,0.0217,0.9803,-0.0146,0.981
0.148509,0.0202,0.9788,-0.0130,0.979
0.151148616,0.0212,0.9798,-0.0124,0.980
0.155168616,0.0217,0.9793,-0.0102,0.980
0.156208923,0.0222,0.9791,-0.0088,0.979
0.158782231,0.0254,0.9805,-0.0112,0.981
0.161714231,0.0242,0.9791,-0.0102,0.979
0.163855462,0.0259,0.9788,-0.0095,0.979
0.166452,0.0261,0.9779,-0.0090,0.978
0.168651769,0.0274,0.9798,-0.0119,0.980
0.172205846,0.0247,0.9805,-0.0134,0.981
0.173883462,0.0259,0.9796,-0.0142,0.980
0.176460693,0.0251,0.9812,-0.0121,0.982
0.178822539,0.0254,0.9805,-0.0144,0.981
0.181247462,0.0247,0.9793,-0.0146,0.980
0.183719077,0.0237,0.9805,-0.0154,0.981
0.186379154,0.0222,0.9844,-0.0188,0.985
0.189429231,0.0227,0.9835,-0.0195,0.984
0.191662846,0.0222,0.9828,-0.0193,0.983
0.193786539,0.0205,0.9833,-0.0210,0.984
0.196377231,0.0212,0.9830,-0.0205,0.983
0.199065923,0.0227,0.9820,-0.0200,0.983
0.201285231,0.0210,0.9840,-0.0198,0.984
0.22051977,0.0193,0.9849,-0.0207,0.985
0.221953231,0.0198,0.9835,-0.0207,0.984
0.222761231,0.0210,0.9842,-0.0212,0.985
0.223501616,0.0191,0.9854,-0.0198,0.986
0.224106154,0.0207,0.9840,-0.0195,0.984
0.224418154,0.0193,0.9833,-0.0179,0.984
0.224705,0.0214,0.9817,-0.0191,0.982
0.225007693,0.0225,0.9812,-0.0186,0.982
0.225281923,0.0225,0.9822,-0.0163,0.983
0.227445539,0.0242,0.9828,-0.0161,0.983
0.228830231,0.0244,0.9822,-0.0168,0.983
0.231618539,0.0251,0.9820,-0.0149,0.982
0.234694846,0.0274,0.9815,-0.0149,0.982
0.236686846,0.0268,0.9800,-0.0137,0.980
0.24003177,0.0279,0.9803,-0.0124,0.981
0.241565308,0.0266,0.9796,-0.0109,0.980
0.243952616,0.0274,0.9791,-0.0124,0.980
0.246396,0.0281,0.9798,-0.0119,0.980
0.24940277,0.0261,0.9791,-0.0109,0.979
0.251627462,0.0271,0.9793,-0.0127,0.980
0.255805846,0.0266,0.9817,-0.0100,0.982
0.256770462,0.0254,0.9800,-0.0112,0.980
0.25911177,0.0259,0.9793,-0.0121,0.980
0.261567693,0.0244,0.9798,-0.0146,0.980
0.264267077,0.0237,0.9805,-0.0142,0.981
0.266627385,0.0247,0.9817,-0.0161,0.982
0.268999077,0.0225,0.9803,-0.0156,0.981
0.272051385,0.0195,0.9812,-0.0166,0.982
0.274256077,0.0214,0.9808,-0.0166,0.981
0.276627693,0.0205,0.9812,-0.0166,0.982
0.279356385,0.0193,0.9844,-0.0186,0.985
0.281754462,0.0191,0.9849,-0.0181,0.985
0.284173539,0.0207,0.9840,-0.0188,0.984
0.289201616,0.0200,0.9840,-0.0193,0.984
0.290504,0.0200,0.9844,-0.0179,0.985
0.291804308,0.0205,0.9844,-0.0181,0.985
0.294255693,0.0200,0.9837,-0.0188,0.984
0.296585308,0.0214,0.9847,-0.0195,0.985
0.299523385,0.0232,0.9835,-0.0179,0.984
0.303071462,0.0217,0.9820,-0.0186,0.982
0.311114154,0.0217,0.9820,-0.0198,0.982
0.312555462,0.0235,0.9830,-0.0181,0.983
0.313215693,0.0225,0.9812,-0.0176,0.982
0.313544923,0.0217,0.9812,-0.0166,0.982
0.314112385,0.0230,0.9803,-0.0144,0.981
0.317168385,0.0249,0.9812,-0.0144,0.982
0.319801,0.0261,0.9817,-0.0158,0.982
0.323132385,0.0247,0.9791,-0.0146,0.980
0.324491077,0.0230,0.9820,-0.0127,0.982
0.326779077,0.0235,0.9812,-0.0107,0.982
