time,gFx,gFy,gFz,TgF
5.88384E-4,-0.1213,0.4135,1.1228,1.203
8.62538E-4,-0.1169,0.4110,1.1064,1.186
0.001057,-0.1136,0.4066,1.0863,1.165
0.001967077,-0.1076,0.4042,1.0665,1.146
0.004321538,-0.1035,0.3989,1.0458,1.124
0.006928384,-0.0989,0.3959,1.0216,1.100
0.010659154,-0.0962,0.3900,1.0013,1.079
0.012262769,-0.0926,0.3871,0.9803,1.058
0.014289307,-0.0869,0.3847,0.9630,1.041
0.016987077,-0.0828,0.3830,0.9437,1.022
0.019702231,-0.0784,0.3819,0.9283,1.007
0.021984,-0.0756,0.3817,0.9146,0.994
0.028166846,-0.0715,0.3828,0.9014,0.982
0.028657846,-0.0673,0.3868,0.8934,0.976
0.029525846,-0.0668,0.3879,0.8836,0.967
0.032105231,-0.0668,0.3910,0.8769,0.962
0.034543769,-0.0640,0.3954,0.8741,0.961
0.036984,-0.0623,0.3981,0.8723,0.961
0.039405615,-0.0649,0.3986,0.8743,0.963
0.042052615,-0.0649,0.4020,0.8765,0.967
0.044666769,-0.0659,0.4052,0.8787,0.970
0.047113,-0.0691,0.4047,0.8829,0.974
0.049500307,-0.0708,0.4076,0.8873,0.979
0.051973538,-0.0744,0.4106,0.8936,0.986
0.054486769,-0.0776,0.4117,0.8992,0.992
0.058730769,-0.0793,0.4130,0.9044,0.997
0.059717923,-0.0815,0.4135,0.9137,1.006
0.062124384,-0.0822,0.4142,0.9185,1.011
0.064517923,-0.0822,0.4152,0.9237,1.016
0.067495692,-0.0791,0.4142,0.9290,1.020
0.069732,-0.0764,0.4130,0.9312,1.022
0.072243769,-0.0766,0.4125,0.9339,1.024
0.076237307,-0.0747,0.4108,0.9344,1.023
0.077462769,-0.0728,0.4094,0.9314,1.020
0.079956077,-0.0742,0.4096,0.9278,1.017
0.082226538,-0.0693,0.4079,0.9258,1.014
0.084809846,-0.0679,0.4059,0.9251,1.013
0.087408384,-0.0671,0.4042,0.9193,1.006
0.089820615,-0.0656,0.4045,0.9112,0.999
0.094391077,-0.0654,0.4033,0.9068,0.995
0.094903154,-0.0644,0.4035,0.9002,0.989
