time,gFx,gFy,gFz,TgF
0.002145538,0.0281,0.9822,0.0276,0.983
0.002651154,0.0298,0.9820,0.0278,0.983
0.002987077,0.0295,0.9800,0.0305,0.981
0.003314846,0.0317,0.9808,0.0329,0.982
0.003623692,0.0315,0.9805,0.0324,0.982
0.006584692,0.0312,0.9812,0.0351,0.982
0.009733846,0.0310,0.9810,0.0390,0.982
0.010490538,0.0352,0.9784,0.0290,0.979
0.012912077,0.0303,0.9793,0.0432,0.981
0.015471769,0.0375,0.9781,0.0300,0.979
0.018093,0.0349,0.9791,0.0312,0.980
0.024226538,0.0315,0.9803,0.0393,0.982
0.024764077,0.0315,0.9803,0.0300,0.981
0.026147384,0.0307,0.9800,0.0361,0.981
0.029205308,0.0291,0.9822,0.0256,0.983
0.030667461,0.0303,0.9820,0.0307,0.983
0.032910846,0.0300,0.9837,0.0302,0.985
0.035773923,0.0281,0.9837,0.0212,0.984
0.049073846,0.0242,0.9835,0.0204,0.984
0.050490231,0.0212,0.9840,0.0251,0.985
0.051177846,0.0259,0.9837,0.0288,0.984
0.051801615,0.0256,0.9852,0.0190,0.986
0.052477923,0.0254,0.9861,0.0246,0.987
0.053098538,0.0271,0.9864,0.0236,0.987
0.053436923,0.0242,0.9849,0.0225,0.985
0.056305538,0.0235,0.9854,0.0236,0.986
0.060995154,0.0227,0.9859,0.0212,0.986
0.061474461,0.0244,0.9840,0.0241,0.985
0.063515154,0.0232,0.9842,0.0256,0.985
0.065818461,0.0249,0.9837,0.0288,0.984
0.068323692,0.0274,0.9820,0.0268,0.983
0.072000923,0.0286,0.9830,0.0293,0.984
0.073326538,0.0291,0.9822,0.0324,0.983
0.07594,0.0307,0.9803,0.0321,0.981
0.078517615,0.0298,0.9800,0.0319,0.981
0.080993846,0.0317,0.9812,0.0334,0.982
0.08358,0.0310,0.9798,0.0358,0.981
0.085777846,0.0330,0.9798,0.0351,0.981
0.088360923,0.0335,0.9784,0.0332,0.980
0.090815384,0.0317,0.9800,0.0329,0.981
0.093529538,0.0312,0.9784,0.0321,0.979
0.095848384,0.0332,0.9798,0.0326,0.981
0.098384384,0.0324,0.9803,0.0324,0.981
0.100786538,0.0330,0.9825,0.0326,0.984
0.103303077,0.0305,0.9822,0.0314,0.983
0.105929308,0.0298,0.9822,0.0293,0.983
0.108469538,0.0288,0.9840,0.0295,0.985
0.111056615,0.0300,0.9822,0.0285,0.983
0.113505,0.0263,0.9835,0.0248,0.984
0.116191384,0.0271,0.9837,0.0234,0.984
0.118758846,0.0268,0.9849,0.0244,0.986
0.132404615,0.0281,0.9847,0.0221,0.985
0.132992,0.0274,0.9852,0.0234,0.986
0.133342231,0.0276,0.9861,0.0221,0.987
0.133658154,0.0266,0.9854,0.0221,0.986
0.133973846,0.0274,0.9847,0.0232,0.985
0.134361846,0.0286,0.9828,0.0253,0.984
0.135998538,0.0291,0.9833,0.0248,0.984
0.138636692,0.0284,0.9833,0.0270,0.984
0.141106461,0.0291,0.9828,0.0278,0.984
0.143659384,0.0298,0.9835,0.0281,0.984
0.146187384,0.0303,0.9837,0.0288,0.985
0.148511769,0.0312,0.9815,0.0278,0.982
0.151312692,0.0317,0.9825,0.0297,0.983
0.153722846,0.0310,0.9803,0.0312,0.981
0.156236308,0.0317,0.9786,0.0316,0.980
0.158887769,0.0328,0.9800,0.0319,0.981
0.161073538,0.0305,0.9793,0.0329,0.980
0.163673615,0.0319,0.9788,0.0314,0.980
0.166089308,0.0337,0.9791,0.0312,0.980
0.168689615,0.0324,0.9800,0.0324,0.981
0.172100077,0.0330,0.9800,0.0321,0.981
0.173789538,0.0317,0.9786,0.0295,0.980
0.176285846,0.0319,0.9822,0.0297,0.983
0.178824308,0.0288,0.9835,0.0293,0.984
0.181422846,0.0303,0.9825,0.0290,0.983
0.184061,0.0298,0.9830,0.0285,0.984
0.186447692,0.0286,0.9812,0.0278,0.982
0.188862769,0.0281,0.9820,0.0258,0.983
0.191605615,0.0259,0.9859,0.0256,0.987
0.194087461,0.0261,0.9842,0.0265,0.985
0.196604308,0.0266,0.9837,0.0246,0.984
0.199069923,0.0256,0.9840,0.0253,0.985
0.201497231,0.0254,0.9859,0.0256,0.987
0.205036923,0.0259,0.9854,0.0234,0.986
0.206548308,0.0254,0.9854,0.0236,0.986
0.209145538,0.0251,0.9842,0.0263,0.985
0.211674769,0.0249,0.9840,0.0260,0.985
0.213923461,0.0263,0.9830,0.0270,0.984
0.216705231,0.0286,0.9835,0.0263,0.984
0.219145308,0.0261,0.9825,0.0276,0.983
0.221498461,0.0268,0.9812,0.0276,0.982
0.223946461,0.0288,0.9833,0.0281,0.984
0.226581538,0.0288,0.9822,0.0300,0.983
0.229519461,0.0293,0.9822,0.0297,0.983
0.231692077,0.0284,0.9837,0.0283,0.984
0.233902154,0.0298,0.9805,0.0316,0.981
0.236393923,0.0295,0.9793,0.0295,0.980
0.241497846,0.0291,0.9810,0.0307,0.982
0.241984923,0.0293,0.9786,0.0288,0.979
0.243997538,0.0291,0.9798,0.0305,0.981
0.246453231,0.0295,0.9815,0.0295,0.982
0.249631769,0.0303,0.9805,0.0293,0.981
0.251907692,0.0293,0.9817,0.0297,0.983
0.255906231,0.0291,0.9837,0.0293,0.985
0.257,0.0291,0.9808,0.0285,0.982
0.259538461,0.0281,0.9837,0.0288,0.984
0.261524923,0.0286,0.9805,0.0281,0.981
0.264582769,0.0276,0.9820,0.0248,0.983
0.266819461,0.0303,0.9822,0.0248,0.983
0.269046231,0.0288,0.9835,0.0253,0.984
0.272012692,0.0286,0.9835,0.0253,0.984
0.274426461,0.0279,0.9844,0.0256,0.985
0.276765308,0.0281,0.9859,0.0244,0.987
0.279314231,0.0266,0.9844,0.0258,0.985
0.281675692,0.0276,0.9847,0.0256,0.985
0.284521615,0.0284,0.9828,0.0256,0.984
0.286961308,0.0288,0.9808,0.0260,0.982
0.289219154,0.0291,0.9830,0.0258,0.984
0.291944,0.0312,0.9828,0.0272,0.984
0.294242538,0.0298,0.9835,0.0270,0.984
0.296862154,0.0295,0.9844,0.0278,0.985
0.299452384,0.0305,0.9810,0.0278,0.982
0.301932615,0.0310,0.9815,0.0305,0.982
0.305356384,0.0295,0.9815,0.0305,0.982
0.307012077,0.0312,0.9803,0.0297,0.981
0.309372692,0.0312,0.9796,0.0307,0.981
0.311844077,0.0324,0.9800,0.0293,0.981
0.314566154,0.0303,0.9810,0.0295,0.982
0.317123692,0.0305,0.9815,0.0312,0.983
0.319341923,0.0310,0.9805,0.0295,0.981
0.322381231,0.0307,0.9815,0.0290,0.982
0.324614846,0.0312,0.9810,0.0288,0.982
