time,gFx,gFy,gFz,TgF
0.003937923,-0.0090,0.9776,-0.0633,0.980
0.004708616,-0.0070,0.9793,-0.0586,0.981
0.006335154,-0.0046,0.9781,-0.0561,0.980
0.007954462,-0.0031,0.9786,-0.0589,0.980
0.009215692,-0.0051,0.9793,-0.0617,0.981
0.010292077,-0.0083,0.9786,-0.0594,0.980
0.011324923,-0.0060,0.9800,-0.0584,0.982
0.024132077,-0.0075,0.9791,-0.0557,0.981
0.025096077,-0.0070,0.9796,-0.0603,0.981
0.026373231,-0.0070,0.9781,-0.0615,0.980
0.026799769,-0.0078,0.9796,-0.0615,0.982
0.027214231,-0.0085,0.9798,-0.0559,0.981
0.027560616,-0.0083,0.9803,-0.0559,0.982
0.028807385,-0.0075,0.9791,-0.0577,0.981
0.033630769,-0.0092,0.9796,-0.0606,0.982
0.034101846,-0.0075,0.9791,-0.0598,0.981
0.037041308,-0.0085,0.9820,-0.0574,0.984
0.040515385,-0.0095,0.9815,-0.0589,0.983
0.041512077,-0.0111,0.9828,-0.0582,0.985
0.044074231,-0.0102,0.9798,-0.0615,0.982
0.046082231,-0.0067,0.9793,-0.0598,0.981
0.048887385,-0.0060,0.9798,-0.0610,0.982
0.051423385,-0.0070,0.9817,-0.0594,0.984
0.054051769,-0.0072,0.9815,-0.0596,0.983
0.057096,-0.0078,0.9798,-0.0603,0.982
0.059888616,-0.0078,0.9798,-0.0577,0.982
0.061289539,-0.0090,0.9798,-0.0574,0.982
0.064014846,-0.0075,0.9793,-0.0613,0.981
0.066447692,-0.0083,0.9781,-0.0596,0.980
0.069171154,-0.0083,0.9784,-0.0594,0.980
0.071655077,-0.0080,0.9808,-0.0606,0.983
0.074141308,-0.0097,0.9805,-0.0589,0.982
0.076743692,-0.0099,0.9793,-0.0594,0.981
0.079495154,-0.0087,0.9788,-0.0608,0.981
0.081842154,-0.0090,0.9800,-0.0598,0.982
0.084188385,-0.0090,0.9779,-0.0601,0.980
0.086527462,-0.0085,0.9784,-0.0591,0.980
0.100605231,-0.0083,0.9798,-0.0598,0.982
0.101171077,-0.0087,0.9805,-0.0584,0.982
0.101596308,-0.0080,0.9771,-0.0586,0.979
0.101942154,-0.0080,0.9788,-0.0582,0.981
0.102269846,-0.0070,0.9800,-0.0589,0.982
0.102586154,-0.0075,0.9788,-0.0594,0.981
0.104311692,-0.0065,0.9791,-0.0606,0.981
0.107640385,-0.0062,0.9798,-0.0594,0.982
0.109320923,-0.0087,0.9779,-0.0591,0.980
0.111874846,-0.0070,0.9784,-0.0596,0.980
0.114249231,-0.0072,0.9776,-0.0586,0.979
0.117015077,-0.0092,0.9771,-0.0577,0.979
0.119199692,-0.0085,0.9784,-0.0594,0.980
0.121821539,-0.0075,0.9791,-0.0589,0.981
0.124341539,-0.0062,0.9773,-0.0582,0.979
0.12668,-0.0072,0.9786,-0.0596,0.980
0.129072385,-0.0075,0.9786,-0.0610,0.980
0.131832616,-0.0097,0.9796,-0.0606,0.982
0.134139385,-0.0099,0.9803,-0.0594,0.982
0.137071154,-0.0083,0.9796,-0.0598,0.981
0.141330539,-0.0078,0.9781,-0.0608,0.980
0.142418539,-0.0072,0.9793,-0.0603,0.981
0.144544692,-0.0072,0.9800,-0.0603,0.982
0.146833539,-0.0080,0.9798,-0.0601,0.982
0.1495,-0.0067,0.9803,-0.0613,0.982
0.151918846,-0.0072,0.9796,-0.0606,0.981
0.154282846,-0.0075,0.9788,-0.0606,0.981
0.157727385,-0.0070,0.9803,-0.0606,0.982
0.159652385,-0.0083,0.9793,-0.0623,0.981
0.162035462,-0.0075,0.9800,-0.0582,0.982
0.164497539,-0.0085,0.9800,-0.0594,0.982
0.167033923,-0.0072,0.9781,-0.0577,0.980
0.169339077,-0.0062,0.9798,-0.0598,0.982
0.172085308,-0.0060,0.9791,-0.0596,0.981
0.174356692,-0.0085,0.9791,-0.0594,0.981
0.177190154,-0.0083,0.9803,-0.0598,0.982
0.179445,-0.0092,0.9796,-0.0596,0.981
0.182226231,-0.0062,0.9796,-0.0598,0.981
0.184674462,-0.0067,0.9788,-0.0603,0.981
0.186986231,-0.0070,0.9803,-0.0608,0.982
0.205820923,-0.0090,0.9798,-0.0608,0.982
0.206381846,-0.0085,0.9798,-0.0596,0.982
0.206736308,-0.0072,0.9800,-0.0591,0.982
0.207074539,-0.0078,0.9803,-0.0596,0.982
0.207444077,-0.0087,0.9796,-0.0591,0.981
0.207754154,-0.0075,0.9781,-0.0594,0.980
0.208045923,-0.0062,0.9796,-0.0606,0.981
0.208359154,-0.0067,0.9805,-0.0594,0.982
0.210456077,-0.0087,0.9788,-0.0591,0.981
0.212123769,-0.0065,0.9773,-0.0610,0.979
0.214668692,-0.0085,0.9773,-0.0608,0.979
0.217035462,-0.0080,0.9781,-0.0598,0.980
0.220010231,-0.0087,0.9798,-0.0615,0.982
0.224108923,-0.0090,0.9791,-0.0601,0.981
0.225113539,-0.0095,0.9796,-0.0582,0.981
0.227261539,-0.0075,0.9791,-0.0601,0.981
0.229549923,-0.0085,0.9779,-0.0613,0.980
0.232296923,-0.0095,0.9779,-0.0598,0.980
0.234664,-0.0097,0.9786,-0.0598,0.980
0.237275462,-0.0085,0.9784,-0.0603,0.980
0.240928308,-0.0097,0.9798,-0.0606,0.982
0.242404385,-0.0092,0.9786,-0.0606,0.980
0.244897539,-0.0085,0.9786,-0.0598,0.980
0.247372692,-0.0083,0.9784,-0.0594,0.980
0.250035385,-0.0102,0.9796,-0.0582,0.981
0.252303769,-0.0099,0.9796,-0.0586,0.981
0.254828385,-0.0080,0.9808,-0.0608,0.983
0.257314231,-0.0083,0.9784,-0.0579,0.980
0.260193539,-0.0092,0.9791,-0.0598,0.981
0.262352616,-0.0080,0.9784,-0.0582,0.980
0.264953308,-0.0085,0.9793,-0.0579,0.981
0.267109231,-0.0070,0.9781,-0.0596,0.980
0.269733308,-0.0092,0.9791,-0.0591,0.981
0.274260692,-0.0090,0.9798,-0.0598,0.982
0.275404,-0.0092,0.9788,-0.0598,0.981
0.277433846,-0.0085,0.9781,-0.0582,0.980
0.279784692,-0.0085,0.9784,-0.0566,0.980
0.282383692,-0.0087,0.9768,-0.0603,0.979
0.284804077,-0.0085,0.9793,-0.0603,0.981
0.287563385,-0.0078,0.9798,-0.0584,0.982
0.290724385,-0.0072,0.9798,-0.0589,0.982
0.292673923,-0.0065,0.9791,-0.0577,0.981
0.294733308,-0.0075,0.9793,-0.0601,0.981
0.29744,-0.0080,0.9771,-0.0586,0.979
0.300012077,-0.0072,0.9773,-0.0596,0.979
0.302288616,-0.0075,0.9788,-0.0598,0.981
0.305360077,-0.0080,0.9776,-0.0606,0.979
0.322815462,-0.0072,0.9786,-0.0603,0.980
0.323992,-0.0087,0.9771,-0.0603,0.979
0.324718231,-0.0072,0.9786,-0.0594,0.980
0.325729,-0.0065,0.9803,-0.0569,0.982
0.326119462,-0.0070,0.9805,-0.0589,0.982
0.326460077,-0.0072,0.9808,-0.0589,0.983
0.326798462,-0.0085,0.9793,-0.0579,0.981
0.327116923,-0.0080,0.9786,-0.0591,0.980
0.327477308,-0.0083,0.9796,-0.0591,0.981
0.330279692,-0.0078,0.9808,-0.0598,0.983
0.332935692,-0.0072,0.9796,-0.0589,0.981
0.335334231,-0.0070,0.9798,-0.0598,0.982
0.337867692,-0.0060,0.9791,-0.0591,0.981
0.342579077,-0.0067,0.9786,-0.0589,0.980
0.343236,-0.0072,0.9803,-0.0584,0.982
0.345054846,-0.0065,0.9800,-0.0591,0.982
0.347456,-0.0065,0.9796,-0.0591,0.981
0.350044923,-0.0072,0.9784,-0.0606,0.980
0.352857231,-0.0070,0.9781,-0.0598,0.980
0.355224923,-0.0083,0.9805,-0.0596,0.982
0.358153923,-0.0072,0.9793,-0.0596,0.981
0.360309923,-0.0078,0.9784,-0.0596,0.980
0.362615462,-0.0067,0.9773,-0.0586,0.979
0.365193616,-0.0062,0.9781,-0.0589,0.980
0.367897923,-0.0055,0.9786,-0.0582,0.980
0.370441616,-0.0075,0.9791,-0.0584,0.981
0.373847692,-0.0065,0.9798,-0.0601,0.982
0.375478154,-0.0075,0.9788,-0.0586,0.981
0.377810154,-0.0072,0.9786,-0.0591,0.980
0.380302462,-0.0083,0.9788,-0.0584,0.981
0.382805846,-0.0080,0.9781,-0.0591,0.980
0.385390231,-0.0078,0.9784,-0.0603,0.980
0.387803462,-0.0083,0.9781,-0.0601,0.980
0.390771385,-0.0083,0.9784,-0.0589,0.980
0.392942769,-0.0080,0.9773,-0.0591,0.979
