rel_t,gFy,gFz,TgF
0.0,-0.11880000000000002,-0.8464791666666667,0.8979583333333333
0.0326530612244898,-0.09908489048118523,-0.8161154750444136,0.853921836359806
0.0653061224489796,-0.030741295106295214,-0.7801026773121191,0.8048206166292343
0.0979591836734694,0.10771848006433331,-0.7657681230063916,0.8102927774677428
0.1306122448979592,0.2655208241613336,-0.717619252322033,0.8532547581441176
0.163265306122449,0.440339814950349,-0.6114190199955701,0.8795318239476749
0.1959183673469388,0.6675654762111516,-0.49182315887779043,0.9361995884278996
0.2285714285714286,1.0041562402989272,-0.45312307310610306,1.1888754377385646
0.2612244897959184,1.5045871641720725,-0.548572423905903,1.6709826934323344
0.2938775510204082,1.957404149661824,-0.7078101465562016,2.138750776713079
0.326530612244898,2.32389674620017,-0.8209370830193556,2.507343817300614
0.3591836734693878,2.520894447661426,-0.8091604264065978,2.6808622568293057
0.3918367346938776,2.825047829548892,-0.8275527678451913,2.9720426922071943
0.4244897959183674,3.1535938742036635,-0.9115999021553942,3.315740659857363
0.4571428571428572,3.1008904034082185,-0.9164898443800175,3.271067024443399
0.489795918367347,2.7564189230766423,-0.8028740601144864,2.9098174226028863
0.5224489795918368,2.3519597614537164,-0.6622518037233901,2.4819274198455346
0.5551020408163265,2.073563638785698,-0.5964230520952686,2.195425579991514
0.5877551020408164,1.8289912923642069,-0.5764582393099446,1.9528571759469828
0.6204081632653062,1.354181144594371,-0.41947408808612713,1.450607026580549
0.653061224489796,0.836617706719737,-0.19184583376171496,0.8947266615999742
0.6857142857142857,0.5165849325607628,-0.03696313721771042,0.5620001545134542
0.7183673469387756,0.40002833810559707,-0.007655078334614054,0.43640226787913566
0.7510204081632654,0.35014566348833326,-0.019557615237136682,0.3786416453091798
0.7836734693877552,0.296461711865645,-0.021357005480682766,0.3203932832160687
0.8163265306122449,0.25350648012766147,-0.01448057570439072,0.27281171361288753
0.8489795918367348,0.2652022237649636,-0.019937166171674982,0.28227306436806987
0.8816326530612246,0.34514603526121107,-0.042085262661033955,0.3636148582300866
0.9142857142857144,0.5293018462637047,-0.08913363767235023,0.5576829392888869
0.9469387755102041,0.848271163238473,-0.17893524801940308,0.8975519140200839
0.979591836734694,1.3600718328873238,-0.32585477006598046,1.4401876724554228
1.0122448979591838,1.9078313701330016,-0.4842015934656654,2.011430453864373
1.0448979591836736,2.474271798987509,-0.6643893848720225,2.6007653818463576
1.0775510204081633,3.2391286669921366,-0.9302629334533199,3.4200355161040665
1.110204081632653,3.829555363112096,-1.0586881316644037,4.049227518783357
1.142857142857143,3.775730292112796,-0.9286614064111852,3.9725663700428715
1.1755102040816328,3.3373801457018875,-0.7345996291117718,3.482225084953596
1.2081632653061225,3.056920649140183,-0.7285740451417358,3.1860532775349246
1.2408163265306125,2.8344531326720084,-0.809447220556072,2.9760695477973407
1.2734693877551022,2.6015368594249972,-0.8746249291406865,2.7705350182272297
1.306122448979592,2.2270721518785908,-0.8382563562970842,2.4121933929271813
1.3387755102040817,1.6735329858324226,-0.705855090255168,1.8502654309219706
1.3714285714285714,0.9979411155402688,-0.5740689570226728,1.1989254152899382
1.4040816326530614,0.3419095745634953,-0.4915764229018162,0.7229019670975593
1.4367346938775512,-0.12585276493696756,-0.5179825706649619,0.648553225516813
1.469387755102041,-0.3408602256371737,-0.7053647367036507,0.8600403269483156
1.5020408163265309,-0.3160910533014501,-0.9699913531364138,1.087608181057351
1.5346938775510206,-0.13382097035360327,-1.20655650956624,1.2518381324790444
1.5673469387755103,0.05300383290672239,-1.2841252254079831,1.3089428428777967
1.6,0.19644999999999993,-1.2319416666666665,1.2660416666666665
