rel_t,TgF,gFy,gFz
0.0,1.367244714912118,0.09838492712030701,-1.2703722288601924
0.0326530612244898,1.2274922197450846,-0.13794926486981324,-1.260227570715512
0.0653061224489796,1.1654710107762674,-0.08143400411082145,-1.2139982955445454
0.0979591836734694,1.1388339597052752,0.14939146322538718,-1.1191361040554468
0.1306122448979592,1.096978705209773,0.42523595424490623,-0.9615116001171616
0.163265306122449,0.9636892041592878,0.5580959653874548,-0.7328276079813656
0.1959183673469388,0.718418359735074,0.5164122753645632,-0.3595098544535766
0.2285714285714286,0.5908791744248315,0.4062151191298858,-0.016273042106702315
0.2612244897959184,0.6506184058767899,0.3809574315065181,0.2422034284073389
0.2938775510204082,0.9347503054331103,0.5309304439552092,0.45967185705221075
0.326530612244898,1.2541416848026803,0.8106692025690586,0.5320272244130974
0.3591836734693878,1.4300154690788218,1.0565046153926139,0.5268216248515009
0.3918367346938776,1.3600999081075063,1.1155495533951914,0.48788528506215545
0.4244897959183674,1.1168499033466441,0.9633584280461898,0.45622640660689595
0.4571428571428572,0.8901666968793568,0.7762765576936397,0.44695399312621953
0.489795918367347,0.8596955584719621,0.7306190455596144,0.45917886073209374
0.5224489795918368,0.9607723114526924,0.7958639727915202,0.49565383786849543
0.5551020408163265,1.0600639372673097,0.8684928111450554,0.5412788486363295
0.5877551020408164,1.114671991918573,0.9173003461230098,0.564749417400086
0.6204081632653062,1.1252735222470085,0.9437548644686765,0.5580937891684252
0.653061224489796,1.084200934313459,0.9254258130688114,0.5389484799556218
0.6857142857142857,1.031019330370148,0.8894720965485473,0.5203660071646039
0.7183673469387756,1.0125336467017159,0.8708573455432859,0.5165226894397955
0.7510204081632654,1.0185665435970157,0.8674833141957257,0.5253250869000112
0.7836734693877552,1.030356111832397,0.8730084277707294,0.53411960901662
0.8163265306122449,1.0304558789038745,0.8732786368622854,0.533241273022595
0.8489795918367348,1.0190822298397302,0.8638538814915259,0.5289536303471938
0.8816326530612246,0.99449486845454,0.8402477598646813,0.5213461206858104
0.9142857142857144,0.9839598849040961,0.8239893664252737,0.5258049572604112
0.9469387755102041,0.9925161890142559,0.8291385037290225,0.5255255645516572
0.979591836734694,1.0068574677046047,0.8398236396857935,0.5364419552303122
1.0122448979591838,1.0182140367680255,0.8737442591982989,0.5152151878386498
1.0448979591836736,0.9562708941098744,0.8765630245434501,0.43812983517680865
1.0775510204081633,0.8209751320190428,0.8023940197269176,0.26689095398571333
1.110204081632653,0.6938993805336504,0.62209615351708,0.009193020319993991
1.142857142857143,0.6227508991668098,0.3645129448084266,-0.25335466274901863
1.1755102040816328,0.6300030489320828,0.07383382489589771,-0.5369863298800965
1.2081632653061225,0.7120683906821095,-0.14504767987878223,-0.7309315471199638
1.2408163265306125,0.8600967202043389,-0.22524856485284883,-0.8664922744225739
1.2734693877551022,0.9954724532317384,-0.1842651947824238,-0.9708696027261536
1.306122448979592,1.090191649288047,-0.07992648360831159,-1.070225432107683
1.3387755102040817,1.1600634783128938,0.03237428500160817,-1.1529669431326768
1.3714285714285714,1.125068141020842,0.10771734460986374,-1.1342164833795134
1.4040816326530614,0.9327568373863444,0.1374876606945144,-0.9517382738228032
1.4367346938775512,0.6557417522848081,0.1439409033353358,-0.6226412851166958
1.469387755102041,0.5214637356709937,0.2834520582228146,-0.3135868197089827
1.5020408163265309,0.6163096898786219,0.5836008839127614,-0.10558363292042548
1.5346938775510206,1.0647320105656748,1.1121865569798042,-0.13425169807847526
1.5673469387755103,1.7266402186208607,1.7153962325279521,-0.3942066884611354
1.6,3.409822667103951,3.0464378240396215,-1.3238564396452017
